CELL	chrom	start	end	CN states
leaf1	chr_1	0	1000000	1,1
leaf2	chr_1	0	1000000	1,1
leaf3	chr_1	0	1000000	1,1
leaf4	chr_1	0	1000000	1,1
leaf5	chr_1	0	1000000	1,1
leaf6	chr_1	0	1000000	1,1
leaf7	chr_1	0	1000000	1,1
leaf8	chr_1	0	1000000	1,1
leaf9	chr_1	0	1000000	1,1
leaf10	chr_1	0	1000000	1,1
leaf1	chr_1	1000000	2000000	1,1
leaf2	chr_1	1000000	2000000	1,1
leaf3	chr_1	1000000	2000000	1,1
leaf4	chr_1	1000000	2000000	1,1
leaf5	chr_1	1000000	2000000	1,1
leaf6	chr_1	1000000	2000000	1,1
leaf7	chr_1	1000000	2000000	1,1
leaf8	chr_1	1000000	2000000	1,1
leaf9	chr_1	1000000	2000000	1,1
leaf10	chr_1	1000000	2000000	1,1
leaf1	chr_1	2000000	3000000	1,1
leaf2	chr_1	2000000	3000000	1,1
leaf3	chr_1	2000000	3000000	1,1
leaf4	chr_1	2000000	3000000	1,1
leaf5	chr_1	2000000	3000000	1,1
leaf6	chr_1	2000000	3000000	1,1
leaf7	chr_1	2000000	3000000	1,1
leaf8	chr_1	2000000	3000000	1,1
leaf9	chr_1	2000000	3000000	1,1
leaf10	chr_1	2000000	3000000	1,1
leaf1	chr_1	3000000	4000000	1,1
leaf2	chr_1	3000000	4000000	1,1
leaf3	chr_1	3000000	4000000	1,1
leaf4	chr_1	3000000	4000000	1,1
leaf5	chr_1	3000000	4000000	1,1
leaf6	chr_1	3000000	4000000	1,1
leaf7	chr_1	3000000	4000000	1,1
leaf8	chr_1	3000000	4000000	1,1
leaf9	chr_1	3000000	4000000	1,1
leaf10	chr_1	3000000	4000000	1,1
leaf1	chr_1	4000000	5000000	1,1
leaf2	chr_1	4000000	5000000	1,1
leaf3	chr_1	4000000	5000000	1,1
leaf4	chr_1	4000000	5000000	1,1
leaf5	chr_1	4000000	5000000	1,1
leaf6	chr_1	4000000	5000000	1,1
leaf7	chr_1	4000000	5000000	1,1
leaf8	chr_1	4000000	5000000	1,1
leaf9	chr_1	4000000	5000000	1,1
leaf10	chr_1	4000000	5000000	1,1
leaf1	chr_1	5000000	6000000	1,1
leaf2	chr_1	5000000	6000000	1,1
